# Total Phase Data Center(tm) v6.73
# (c) 2005-2017 Total Phase, Inc.
# www.totalphase.com
#
# Fri Apr 19 11:53:27 2019
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),,[Thu Apr 18 18:05:42 2019],
0,HS,3493,0:13.607.053,1.235.583 ms,20 B,,03,05,IN txn   [56 POLL],00 00 00 00 00 00 00 14 00 00 00 02 00 00 00 00 00 08 00 00,,....................
0,HS,3518,0:13.608.293,2.061.950 ms,36 B,,03,05,IN txn   [92 POLL],00 00 00 06 00 00 00 24 FA CE FA CE 00 00 00 01 F2 7E 02 00 00 00 00 00 00 00 00 01 5F 12 02 00 7F 00 00 01,,.......$.........~.........._.......
0,HS,3529,0:13.610.362,1.969.250 ms,40 B,,03,05,IN txn   [90 POLL],00 00 00 06 00 00 00 28 FA CE FA CE 00 01 00 02 F2 7E 02 00 00 00 00 01 00 00 01 4D 50 10 02 00 00 00 00 00 00 00 01 29,,.......(.........~.........MP..........)
0,HS,3535,0:13.612.339,122.266 us,333 B,,03,05,IN txn   [6 POLL],00 00 00 06 00 00 01 4D FA CE FA CE 00 02 00 02 F2 7E 02 00 00 00 00 05 00 00 01 4D 50 10 02 00 00 00 00 00 3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 20 65 6E 63 6F 64 69 6E 67 3D 22 55 54 46 2D 38 22 3F 3E 0A 3C 21 44 4F 43 54 59 50 45 20 70 6C 69 73 74 20 50 55 42 4C 49 43 20 22 2D 2F 2F 41 70 70 6C 65 2F 2F 44 54 44 20 50 4C 49 53 54 20 31 2E 30 2F 2F 45 4E 22 20 22 68 74 74 70 3A 2F 2F 77 77 77 2E 61 70 70 6C 65 2E 63 6F 6D 2F 44 54 44 73 2F 50 72 6F 70 65 72 74 79 4C 69 73 74 2D 31 2E 30 2E 64 74 64 22 3E 0A 3C 70 6C 69 73 74 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 3E 0A 3C 64 69 63 74 3E 0A 09 3C 6B 65 79 3E 52 65 71 75 65 73 74 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 51 75 65 72 79 54 79 70 65 3C 2F 73 74 72 69 6E 67 3E 0A 09 3C 6B 65 79 3E 54 79 70 65 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 63 6F 6D 2E 61 70 70 6C 65 2E 6D 6F 62 69 6C 65 2E 6C 6F 63 6B 64 6F 77 6E 3C 2F 73 74 72 69 6E 67 3E 0A 3C 2F 64 69 63 74 3E 0A 3C 2F 70 6C 69 73 74 3E 0A,,.......M.........~.........MP.......<?xml version…
0,HS,3559,0:13.612.464,10.829.333 ms,40 B,,03,05,IN txn   [497 POLL],00 00 00 06 00 00 00 28 FA CE FA CE 00 03 00 05 F2 7E 02 00 00 00 01 2E 00 00 03 34 50 10 02 00 00 00 00 00 00 00 01 62,,.......(.........~.........4P..........b
0,HS,3564,0:13.623.301,85.266 us,390 B,,03,05,IN txn   [4 POLL],00 00 00 06 00 00 01 86 FA CE FA CE 00 04 00 05 F2 7E 02 00 00 00 01 32 00 00 03 34 50 10 02 00 00 00 00 00 3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 20 65 6E 63 6F 64 69 6E 67 3D 22 55 54 46 2D 38 22 3F 3E 0A 3C 21 44 4F 43 54 59 50 45 20 70 6C 69 73 74 20 50 55 42 4C 49 43 20 22 2D 2F 2F 41 70 70 6C 65 2F 2F 44 54 44 20 50 4C 49 53 54 20 31 2E 30 2F 2F 45 4E 22 20 22 68 74 74 70 3A 2F 2F 77 77 77 2E 61 70 70 6C 65 2E 63 6F 6D 2F 44 54 44 73 2F 50 72 6F 70 65 72 74 79 4C 69 73 74 2D 31 2E 30 2E 64 74 64 22 3E 0A 3C 70 6C 69 73 74 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 3E 0A 3C 64 69 63 74 3E 0A 09 3C 6B 65 79 3E 45 6E 61 62 6C 65 53 65 73 73 69 6F 6E 53 53 4C 3C 2F 6B 65 79 3E 0A 09 3C 74 72 75 65 2F 3E 0A 09 3C 6B 65 79 3E 52 65 71 75 65 73 74 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 53 74 61 72 74 53 65 73 73 69 6F 6E 3C 2F 73 74 72 69 6E 67 3E 0A 09 3C 6B 65 79 3E 53 65 73 73 69 6F 6E 49 44 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 41 42 46 37 37 45 45 45 2D 41 45 41 30 2D 34 33 30 38 2D 39 30 45 39 2D 37 35 38 44 35 41 46 32 32 37 42 35 3C 2F 73 74 72 69 6E 67 3E 0A 3C 2F 64 69 63 74 3E 0A 3C 2F 70 6C 69 73 74 3E 0A,,.................~.....2...4P.......<?xml version…
0,HS,3585,0:13.623.396,4.210.583 ms,36 B,,03,05,IN txn   [195 POLL],00 00 00 06 00 00 00 24 FA CE FA CE 00 05 00 08 F2 7E 03 00 00 00 00 00 00 00 00 01 50 12 02 00 F3 CE D5 FB,,.......$.........~..........P.......
0,HS,3596,0:13.627.614,1.255.650 ms,40 B,,03,05,IN txn   [57 POLL],00 00 00 06 00 00 00 28 FA CE FA CE 00 06 00 09 F2 7E 03 00 00 00 00 01 00 00 01 4D 50 10 02 00 00 00 00 00 00 00 01 29,,.......(.........~.........MP..........)
0,HS,3602,0:13.628.877,107.283 us,333 B,,03,05,IN txn   [5 POLL],00 00 00 06 00 00 01 4D FA CE FA CE 00 07 00 09 F2 7E 03 00 00 00 00 05 00 00 01 4D 50 10 02 00 00 00 00 00 3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 20 65 6E 63 6F 64 69 6E 67 3D 22 55 54 46 2D 38 22 3F 3E 0A 3C 21 44 4F 43 54 59 50 45 20 70 6C 69 73 74 20 50 55 42 4C 49 43 20 22 2D 2F 2F 41 70 70 6C 65 2F 2F 44 54 44 20 50 4C 49 53 54 20 31 2E 30 2F 2F 45 4E 22 20 22 68 74 74 70 3A 2F 2F 77 77 77 2E 61 70 70 6C 65 2E 63 6F 6D 2F 44 54 44 73 2F 50 72 6F 70 65 72 74 79 4C 69 73 74 2D 31 2E 30 2E 64 74 64 22 3E 0A 3C 70 6C 69 73 74 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 3E 0A 3C 64 69 63 74 3E 0A 09 3C 6B 65 79 3E 52 65 71 75 65 73 74 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 51 75 65 72 79 54 79 70 65 3C 2F 73 74 72 69 6E 67 3E 0A 09 3C 6B 65 79 3E 54 79 70 65 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 63 6F 6D 2E 61 70 70 6C 65 2E 6D 6F 62 69 6C 65 2E 6C 6F 63 6B 64 6F 77 6E 3C 2F 73 74 72 69 6E 67 3E 0A 3C 2F 64 69 63 74 3E 0A 3C 2F 70 6C 69 73 74 3E 0A,,.......M.........~.........MP.......<?xml version…
0,HS,3631,0:13.628.990,2.323.416 ms,40 B,,03,05,IN txn   [104 POLL],00 00 00 06 00 00 00 28 FA CE FA CE 00 08 00 0C F2 7E 03 00 00 00 01 2E 00 00 02 C9 50 10 02 00 00 00 00 00 00 00 01 45,,.......(.........~..........P..........E
